orderNo,transNo,memberId,dueLoanAmt,realLoanAmt,acctTempId,orderState,orderStatus,orderType,repaymentPeriod,periodType,bankName,successTime,successLogicDate,crtTime,updTime,remittanceType,UPDATE_DAY
TQYJK2017022161Dl506XKK,XDCL956C4B11CEFF4FECB1ECF4AFD6C2875D,101773885,270000,270000,420002,99,2,1,3,1,农业银行,21FEB2017:17:25:42,21FEB2017,21FEB2017:17:25:12,21FEB2017:17:25:54,0,20181102
TQYJK20170222QSlz6eN04U,,102568403,400000,400000,420002,2,0,1,6,1,农业银行,,,22FEB2017:09:02:53,,0,20181102
TQYJK20170223291AYod4LE,XDCL59AE35EB96F84059B6959517DCCC955C,104551815,70000,70000,420002,99,2,1,3,1,工商银行,23FEB2017:15:09:38,23FEB2017,23FEB2017:15:09:25,23FEB2017:15:09:50,0,20181102
TQYJK2017022670ygO99A99,XDCL63B3B27CB31A4643B59718C33C8F75BC,103838224,100000,100000,420002,99,2,1,3,1,招商银行,26FEB2017:08:31:59,26FEB2017,26FEB2017:08:31:33,26FEB2017:08:32:14,0,20181102
TQYJK2017022758Y291T08w,XDCLD26C9BE632A444CABA8DEBA4D9B9BD62,100899879,800000,800000,420002,99,2,1,12,1,工商银行,27FEB2017:17:04:53,27FEB2017,27FEB2017:17:04:33,27FEB2017:17:05:05,0,20181102
TQYJK201702288hew8U4G72,XDCL90B14521DECE4E64B3CEEECBE6FD8DB7,104455516,500000,500000,420002,99,2,1,6,1,中国银行,28FEB2017:12:26:45,28FEB2017,28FEB2017:12:26:23,28FEB2017:12:26:58,0,20181102
TQYJK201702281wt60gD417,XDCL41A29660EEF84A7DA18D8D9374A64018,102568403,450000,450000,420002,2,3,1,6,1,农业银行,,,28FEB2017:16:37:33,28FEB2017:16:37:39,0,20181102
TQYJK20170228K9okstKXd4,XDCL87794A51C6DD499AADEC2E73A5DC8DB7,102568403,450000,450000,420002,99,2,1,6,1,农业银行,28FEB2017:16:38:01,28FEB2017,28FEB2017:16:37:43,28FEB2017:16:38:14,0,20181102
TQYJK201702285JB541726H,XDCL0165F87E316D4E15AE73EF170AA37B47,102269770,160000,160000,420002,99,2,1,3,1,中国建设银行,28FEB2017:17:04:01,28FEB2017,28FEB2017:17:03:47,28FEB2017:17:04:13,0,20181102
TQYJK2017030116CTIkQ8X1,XDCL7398DF585BCC43B29357DB3AA053F611,104297649,310000,310000,420002,99,2,1,6,1,建设银行,01MAR2017:03:11:54,01MAR2017,01MAR2017:03:10:56,01MAR2017:03:12:06,0,20181102
TQYJK201703021V33i712J4,XDCL5842986E056D41F4AB156F54EE8D7777,100019314,130000,130000,420002,99,2,1,3,1,平安银行,02MAR2017:15:20:17,02MAR2017,02MAR2017:15:19:52,02MAR2017:15:20:30,0,20181102
TQYJK201703032NE7856w93,XDCL49419C3F0AD74791B94381F50952030C,104038994,210000,210000,420002,99,2,1,3,1,建设银行,03MAR2017:18:57:24,03MAR2017,03MAR2017:18:57:10,03MAR2017:18:57:37,0,20181102
TQYJK20170305o9q9YS5NR1,XDCL7D5C9989274E44F0B5FB77C22EEBD10E,103817048,50000,50000,420002,99,2,1,3,1,工商银行,05MAR2017:11:04:08,05MAR2017,05MAR2017:11:03:46,05MAR2017:11:04:20,0,20181102
