id,memberId,orderNo,bizOrderNo,loanAmount,loanDate,isFree,freeNum,interestType,feeRate,rateType,totalNum,payNum,nextRepayDate,overdueNum,orderStatus,isOverdue,cancelFlag,channelType,acctTempId,logicTime,parentOrderNo,orderType,totalPayAmt,serviceFee,totalInitFee,totalAmt,totalPrincipal,totalFee,totalOverdue,totalLatefee,totalAdvanceFee,totalRepayPoundage,totalRepayDiscountfee,totalLoanDiscountfee,totalDayLoanDiscountfee,totalPayLoanDiscountfee,loanDiscountfeeType,loanDiscountfeeAmt,loanDiscountfeeRate,remainTotalAmt,remainTotalPrincipal,remainTotalFee,remainTotalOverdue,remainTotalLatefee,refundDate,refundTotalAmt,waiverTotalAmt,deleted,crtTime,uptTime,deferredFlag,loanTerm,loanTermUnit,UPDATE_DAY
2355,103838224,TQYJK2017022670ygO99A99,,100000,26FEB2017,0,0,1,0.0550,3,3,3,26MAY2017,0,2,0,0,C001,420002,31MAR2017:09:51:23,,1,101686,0,3227,101686,100000,1686,0,0,73,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,26FEB2017:08:32:00,31MAR2017:00:01:03,,,,20181102
2429,100899879,TQYJK2017022758Y291T08w,,800000,27FEB2017,0,0,1,0.0500,3,12,12,27FEB2018,0,2,0,0,C001,420002,26JUL2017:22:33:53,,1,694335,0,78533,847933,800000,47933,0,0,16067,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,27FEB2017:17:04:53,26JUL2017:00:01:13,,,,20181102
2476,104455516,TQYJK201702288hew8U4G72,,500000,28FEB2017,0,0,1,0.0500,3,6,6,28AUG2017,0,2,0,0,C001,420002,24AUG2017:09:21:56,,1,435209,0,26125,525542,500000,25458,84,0,1125,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,28FEB2017:12:26:46,24AUG2017:00:01:02,,,,20181102
2488,102568403,TQYJK20170228K9okstKXd4,,450000,28FEB2017,0,0,1,0.0500,3,6,6,28AUG2017,0,2,0,0,C001,420002,06AUG2017:10:57:18,,1,469015,0,23514,469015,450000,19015,0,0,12564,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,28FEB2017:16:38:02,06AUG2017:00:01:10,,,,20181102
2489,102269770,TQYJK201702285JB541726H,,160000,28FEB2017,0,0,1,0.0550,3,3,3,28MAY2017,0,2,0,0,C001,420002,25MAY2017:20:14:06,,1,109190,0,5163,165041,160000,4987,54,0,88,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,28FEB2017:17:04:01,25MAY2017:00:01:04,,,,20181102
2507,104297649,TQYJK2017030116CTIkQ8X1,,310000,01MAR2017,0,0,1,0.0500,3,6,6,01SEP2017,0,2,0,0,C001,420002,17AUG2017:09:18:02,,1,270089,0,16611,325940,310000,15940,0,0,931,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,01MAR2017:03:11:54,17AUG2017:00:01:07,,,,20181102
2585,100019314,TQYJK201703021V33i712J4,,130000,02MAR2017,0,0,1,0.0500,3,3,3,02JUN2017,0,2,0,0,C001,420002,30MAY2017:21:16:46,,1,88574,0,3987,133922,130000,3922,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,02MAR2017:15:20:17,30MAY2017:00:01:06,,,,20181102
2637,104038994,TQYJK201703032NE7856w93,,210000,03MAR2017,0,0,1,0.0550,3,3,3,03JUN2017,0,2,0,0,C001,420002,02APR2017:21:44:28,,1,213465,0,7085,213465,210000,3465,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,03MAR2017:18:57:24,02APR2017:00:01:06,,,,20181102
2694,103817048,TQYJK20170305o9q9YS5NR1,,50000,05MAR2017,0,0,1,0.0550,3,3,3,05JUN2017,0,2,0,0,C001,420002,03APR2017:09:51:45,,1,50798,0,1687,50798,50000,798,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,05MAR2017:11:04:08,03APR2017:00:01:06,,,,20181102
2833,101306734,TQYJK20170308cp4Oil300b,,600000,08MAR2017,0,0,1,0.0500,3,6,6,08SEP2017,0,2,0,0,C001,420002,09JUN2017:15:24:23,,1,611900,0,32150,611900,600000,11900,0,0,3200,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,,0,0,0,08MAR2017:11:13:36,06APR2017:00:01:00,,,,20181102
